Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-120mm036US+FS-100mm036_ohne Foamglas ohne SD,0.0899,,,,X,02.06.2016,743,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-120mm036US+FS-100mm036+SD-ohne Foamglas,0.0609,,,,X,23.09.2016,455,,,light yellow,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-120mm039US+FS-100mm036_ohne Foamglas ohne SD,0.0845,,,,X,26.05.2016,730,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-140mm036US+FS-100mm036_ohne Foamglas,0.1007,,,,X,14.06.2016,767,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-140mm036US+FS-100mm036+SD-ohne Foamglas,0.0704,,,,X,23.09.2015,455,,,light yellow,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-200mm037US+FS-100mm036 mit SD_ohne Foamglas,0.0877,,,,X,27.03.2017,1110,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-200mm037US+FS-100mm036_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1276,,,,X,29.04.2021,2167,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-200mm037US+FS-100mm036_ohne Foamglas + SD_Ausgleichsstein PPW4_rel. Länge ab UKUS,0.0821,,,,X,27.10.2021,2315,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-200mm039US+FS-100mm036_EH40_ohne Foamglas+SD_Ausgleichsstein PPW4,0.1241,,,,X,26.02.2021,2121,,,,,
Außenwand auf Bodenplatte (EG),Erhöhte Terrasse (140mm028),AW44-P-15PPW2-160mm032-BP16(19)-200mm039US_EH40_ohne Foamglas + SD_Ausgleichsstein PPW4_Streifenfundament (40cm),0.1249,,,,X,26.02.2021,2121,,,,,
