Wärmebrücke,Zusatzinfo Wärmebrücke,Bezeichnung,Psi-Wert,mit Referenzbauteil,ebz,W&P,VHAG,Datum,Nr.,BV,Name,Farbe,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm037_5cm Foamglasstreifen 0,058",0.1246,,,,X,23.02.2022,2391,,,light magenta 3,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm037_6cm Foamglasstreifen 0,052",0.0990,,,,X,21.09.2016,889,,,light yellow,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm037_11,5cm Foamglasstreifen 0,058",0.0607,,,,X,01.03.2023,2546,,,light magenta 3,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm041-6cm Foamglasstreifen 0,052",0.1219,,,,X,12.05.2017,1187,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm042_5cm Foamglasstreifen 0,058",0.1266,,,,X,02.11.2022,2504,,,light magenta 3,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm042_10 cm Foamglasstreifen 0,052",0.0682,,,,X,24.08.2016,857,84738,Nagel,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm042_6cm Foamglasstreifen 0,052",0.1008,,,,X,19.08.2016,853,,,light cyan,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-200mm044_6cm Foamglasstreifen 0,052",0.1228,,,,X,22.09.2016,894,5016035,Brandes,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)-AW30-Stb-240mm042_11,5cm Foamglasstreifen 0,058",0.0648,,,,X,30.08.2023,2591,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D20(19)-AW30-Stb-140mm041_6cm Foamglasstreifen 0,052_Decke auskragend",0.2718,,,,X,01.07.2021,2210,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D20(19)-AW30-Stb-200mm037_6cm Foamglasstreifen 0,052",0.0989,,,,X,02.05.2017,1169,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D20(19)-AW30-Stb-200mm042_5cm Foamglasstreifen 0,058",0.1308,,,,X,10.02.2022,2380,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D20(19)-AW30-Stb-200mm042_6cm Foamglasstreifen 0,052",0.1007,,,,X,13.01.2020,1921,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D20(19)-AW30-Stb-200mm042_11,5cm Foamglasstreifen 0,058",0.0625,,,,X,16.02.2022,2385,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D18(19)_AW30-Stb-200mm037_10cm Foamglasstreifen 0,052",0.0726,,,,X,30.04.2021,2168,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D22(19)_AW30-Stb-200mm042_5cm Foamglasstreifen 0,058",0.1259,,,,X,09.11.2022,2508,,,light magenta 3,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D22(19)_AW30-Stb-240mm037_11,5cm Foamglasstreifen 0,058",0.0622,,,,X,03.07.2023,2577,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D24(19)-AW30-Stb-200mm042_12cm Foamglasstreifen 0,058",0.0619,,,,X,01.12.2021,2342,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm032-Stb-D32(19)_AW30-Stb-200mm042_10cm Foamglasstreifen 0,052",0.0730,,,,X,06.09.2021,2262,,,light purple 3,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm035-Stb-D18(19)-AW30-Stb-200mm037_6cm Foamglasstreifen 0,052",0.0955,,,,X,04.09.2017,1329,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm035-Stb-D18(19)-AW30-Stb-200mm042_6cm Foamglasstreifen 0,052",0.1197,,,,X,11.09.2018,1570,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-15PPW6-160mm035-Stb-D24(14)-AW30-Stb-200mm037_6cm Foamglasstreifen 0,052",0.0984,,,,X,12.02.2019,1701,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-17,5PPW2-100mm028-Stb-D18(19)-AW30-Stb-200mm037",0.1481,,,,X,21.07.2016,508,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-17,5PPW2-100mm028-Stb-D18(19)-AW30-Stb-200mm037",0.1481,,,,X,06.01.2017,995,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-17,5PPW4-100mm028-Stb-D18(19)-AW30-Stb-200mm037",0.1466,,,,X,17.11.2015,509,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-17,5PPW6-100mm028-Stb-D18(19)-AW30-Stb-200mm037",0.1437,,,,X,17.11.2015,509,,,,,
Außenwand EG an Außenwand KG,erhöhte Terrasse,"AW44-V-20Stb-100mm032-Stb-D20(19)-AW30-Stb-200mm037_6cm Foamglas 0,052",0.0779,,,,X,02.05.2017,1169,85534,Bauer,,,
Außenwand EG an Außenwand KG,,- Mischkeller,,,,,,,,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW40-P-15PPW2-120mm035-Stb-D18(19)-AWKG44-V-120mm035-17,5 PPW2",0.0296,,,,X,18.02.2015,339,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-P-15PPW2-160mm032_Stb.-D15(19)-AWKG47,5-P-15PPW 4-160 mm032",0.0094,,,,x,18.12.2017,1413,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-P-15PPW2-160mm032-Stb-D18(19)_AWKG44V-15 PPW2-160 032-120mmMultipor-60mm Multipor
",0.2930,,,,X,06.06.2016,751,84420,Wagner,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW2-160mm032_Stb-D18(19)+120mm042_AWEG44V-15PPW2-160mm 032-AWKG an EG,-0.1242,,,,X,04.12.2017,1390,85846,Feyer/Wong,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW2-160mm032_Stb-D18(19)+60mm032_AWEG44V-15PPW2-160mm 032-AWKG an EG,-0.1324,,,,X,01.12.2017,1390,85846,Feyer/Wong,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-V-15PPW2-160mm032_Stb-D24(19)_AW52,5-V-15PPW 2-120mm032-120mm042",0.0453,,,,X,25.08.2017,840,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW2-160mm032-Stb-D18(19)+120mm042_AWEG44V-15PPW2-160mm032_KG unbeheizt,-0.0273,,,,X,23.09.2019,1852,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-V-15PPW2-160mm032-Stb-D18(19)AWKG44-V-17,5PPW 2-60 mm035_200mm035 unter Decke",0.0036,,,,X,28.09.2016,907,84838,Meier,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-V-15PPW2-160mm032-Stb-D22(19)-AWKG47,5-V-17,5PPW 2-160 mm032_22.10.18",0.0133,,,,X,22.10.2018,1614,86161,Steffen,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW2-160mm035_AWKG30Stb-200mm037_über 1m Erdreichtiefe,-0.0637,,,,X,27.08.2020,1833,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW2-160mm035_AWKG30Stb-200mm037_unter 1m Erdreichtiefe,-0.0794,,,,X,27.08.2019,1833,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,"AW44-V-15PPW2-160mm035-Stb-D18(19)-AW40,5-185 stb-140mm035-80mmStb",0.0603,,,,X,16.08.2016,838,,Glatthaarkeller,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW6-160mm032_Stb-D20(19)+120mm042_AWEG44V-15PPW2-160mm 032_KG unbeheizt_24.01.2020-Sturz Garagentor an EG,-0.0180,,,,X,24.01.2020,1927,,,,,
Außenwand EG an Außenwand KG,- Mischkeller,AW44-V-15PPW6-160mm032-Stb-D20(19)+120mm042_AWEG44V-15PPW2-160mm032_KG unbeheizt,-0.0191,,,,X,24.01.2020,1927,,,,,
,,Außenwand an DG,,,,,,,,,,,,
,,Drempel im DG (Satteldach),,,,,,,,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D18-14-Drempel-240mm032 mit Schwelle,0.0933,,,,X,23.03.2016,602,,,light green,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D18-14-Drempel-240mm032 mit Winkel,0.1868,,,,X,10.02.2016,551,,,light orange 3,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D18-14-Drempel-240mm035,0.0369,,,,X,19.04.2016,643,84359,Stephan,light blue,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D18-14-Drempel-280mm032,0.0393,,,,X,25.05.2016,727,5016012,Hewelt,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D20-14-Drempel-240mm032,0.0326,,,,X,17.11.2016,955,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D20-14-Drempel-240mm035,0.0375,,,,X,13.12.2017,1406,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D20-14-Drempel-240+40mm032,0.0400,,,,X,18.05.2016,706,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D24-14-Drempel-240mm032,0.0853,,,,X,06.05.2019,1771,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm032-Stb-D24-14-Drempel-280mm032,0.0412,,,,X,21.06.2017,1255,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm035-Stb-D18-14-Drempel-240mm032,0.0940,,,,X,09.03.2017,1072,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm035-Stb-D18-14-Drempel-240mm035,0.0380,,,,X,04.04.2016,604,,Maxime_301,light yellow 1,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm035-Stb-D18-14-Drempel-280mm035,0.0404,,,,X,04.04.2016,608,,Maxime 301,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm035-Stb-D18-14-Drempel-440mm035,0.0457,,,,X,21.01.2013,50,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW2-160mm035-Stb-D20-14-Drempel-240mm035,0.0341,,,,x,22.11.2017,1383,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm032-Stb-D18-14-Drempel-240mm032,0.0263,,,,X,10.05.2016,689,,,light green,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm032-Stb-D18-14-Drempel-240mm035,0.0899,,,,X,04.05.2016,682,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm032-Stb-D18-14-Drempel-280mm032,0.0377,,,,X,21.09.2016,889,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm032-Stb-D20-14-Drempel-280mm032,0.0380,,,,X,08.06.2016,755,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm035-Stb-D18-14-Drempel-240mm032,0.0334,,,,X,01.11.2017,1349,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-P-15PPW6-160mm035-Stb-D18-14-Drempel-240mm035,0.0347,,,,X,13.04.2016,637,84360,Ladiges,light green,,
Außenwand an DG,Drempel im DG (Satteldach),"AW44-V-15KS(1,4)-160mm032-Stb-D18-14-Drempel-240mm032_Dach-240mm032",-0.0356,,,,X,19.05.2017,1204,,,,,
Außenwand an DG,Drempel im DG (Satteldach),"AW44-V-15KS(2,0)-160mm032-Stb-D24-14-Drempel-280mm032",0.0292,,,,X,17.05.2017,1195,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14_Drempel300+60mm032,0.0139,,,,X,14.03.2018,1456,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-240mm032,0.0346,,,,X,09.06.2016,760,,,light green,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-240mm035,0.0359,,,,X,14.04.2016,638,84596,Schäfer,light blue 2,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-240mm035_Drempel eingerückt,0.0305,,,,X,20.09.2018,1588,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-240mm035_AW 200mm032 hinterlüftet ,0.0304,,,,X,13.04.2017,1142,Aktionshaus,Variante5,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-280mm032,0.0354,,,,,,347,,,light magenta 3,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-280mm032_Drempel eingerückt,0.0186,,,,X,04.11.2021,2323,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-360mm032,-0.0215,,,,X,06.07.2016,802,84687,Strauss,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-440mm032,-0.0146,,,,X,21.04.2016,657,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-14-Drempel-440mm035,0.0083,,,,X,16.03.2015,437,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D18-280mm032-Abseitenwand    (Luftraum Bungalow),0.0356,,,,,,464,,500B wohnidee,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D20-14-Drempel-240mm032,0.0354,,,,X,17.11.2016,955,,,light orange 3,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D20-14-Drempel-280mm032,0.0404,,,,X,30.08.2016,859,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D20-14-Drempel-300mm032,0.0300,,,,X,15.06.2017,1249,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D22-14-Drempel-280mm032,0.0527,,,,X,07.11.2017,1340,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D24-14-Drempel-240mm032,0.0371,,,,X,15.08.2016,837,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D24-14-Drempel-240mm032,0.0371,,,,X,22.08.2017,1316,84849,Fleig,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D24-14-Drempel-240mm032_Drempel eingerückt,0.0120,,,,X,14.06.2021,2200,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D24-14-Drempel-280mm032,0.0420,,,,X,10.08.2016,824,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm032-Stb-D24-14-Drempel-280mm035,0.0315,,,,X,20.08.2021,2241,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-200mm035,0.1884,,,,X,13.06.2013,94,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm032,0.0142,,,,X,24.08.2015,437,,,light blue,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm032_Drempel eingerückt,0.0294,,,,X,25.09.2018,1596,,V1 UrbanStyle,light green 1,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm035,0.0369,,,,X,04.04.2016,604,,Maxime_301,light yellow 2,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm035,0.0310,,,,X,24.08.2018,1553,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm035_Drempel eingerückt,0.0129,,,,X,01.03.2024,2646,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-240mm035_stark belüftet,0.0240,,,,X,03.12.2019,1906,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-280mm032,0.0379,,,,X,11.04.2016,623,84361,Reimers,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-280mm035,0.0394,,,,X,04.04.2016,608,,Maxime 301,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-400mm035,0.0275,,,,X,24.09.2018,1594,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-14-Drempel-440mm035,0.0582,,,,X,9/26/2012,371,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D18-Abseitenwand-240mm035,0.0071,,,,,04.12.2017,1391,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D20-14-Drempel-240mm035,0.0251,,,,x,22.11.2017,1383,,,light yellow,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D20-14-Drempel-360mm035,0.0320,,,,X,20.03.2014,36,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D20-14-Drempel-360mm035-Dach360mm035    (auskragende EG-Decke),0.2060,,,,X,20.03.2014,201,82909,Namislo,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D24-14-Drempel-240mm032_Drempel eingerückt,0.0126,,,,X,16.11.2023,2605,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D24-14-Drempel-240mm035,0.0267,,,,x,17.11.2017,1377,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW2-160mm035-Stb-D24-14-Drempel-240mm035+40mm032,0.0421,,,,X,14.05.2019,1777,,,,,
Außenwand an DG,Drempel im DG (Satteldach),"AW44-V-15PPW4-160mm032-Stb-D18-14-Drempel-240mm032_PPW4(0,13)",0.0181,,,,X,20.01.2018,1425,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW4-160mm032-Stb-D18-14-Drempel-280mm032,0.0269,,,,X,24.04.2015,248,,,light magenta 3,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW4-160mm032-Stb-D20-14-Drempel-240mm032,0.0340,,,,X,17.11.2016,955,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW4-160mm032-Stb-D20-14-Drempel-280mm032,0.0277,,,,X,06.12.2016,966,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW4-160mm035-Stb-D18-14-Drempel-240mm035,0.0354,,,,X,29.08.2018,1558,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-240mm032,0.0309,,,,X,20.04.2016,651,84580,Eller,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-240mm032,0.0309,,,,X,10.05.2016,689,,,light green,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-240mm035,0.0322,,,,X,11.04.2016,640,84360,Ladiges,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-240mm035_Drempel eingerückt,0.0267,,,,X,20.09.2018,1588,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-240mm035_AW 200mm032 hinterlüftet ,0.0207,,,,X,13.04.2017,1142,Aktionshaus,Variante6,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-280mm032,0.0359,,,,X,26.05.2016,728,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-360mm032,-0.0254,,,,X,06.07.2016,802,84687,Strauss,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D18-14-Drempel-440mm032,-0.0173,,,,X,21.04.2016,657,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D20-14-Drempel-240mm032,0.0326,,,,X,17.11.2016,955,,,light yellow,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D20-14-Drempel-280mm032,0.0349,,,,X,06.12.2016,966,,,,,
Außenwand an DG,Drempel im DG (Satteldach),"AW44-V-15PPW6-160mm032-Stb-D24-14-Abseitenwand-280mm032(0,14)",-0.0122,,,,X,11.06.2020,1994,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D24-14-Drempel-240mm032,0.0325,,,,X,06.10.2016,911,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D24-14-Drempel-240mm032_Drempel eingerückt,0.0073,,,,X,14.06.2021,2200,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D24-14-Drempel-280mm032,0.0348,,,,X,17.05.2017,1195,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm032-Stb-D24-14-Drempel-280mm035,0.0268,,,,X,15.09.2021,2275,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm035-Stb-D18-14_Drempel-400mm035,0.0232,,,,X,24.09.2018,1594,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm035-Stb-D18-14-Drempel-240mm032,0.0327,,,,X,19.01.2017,1006,,,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm035-Stb-D18-14-Drempel-240mm032,0.0251,,,,X,25.09.2018,1596,,V1 UrbanStyle,,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm035-Stb-D18-14-Drempel-240mm035_Drempel eingerückt,0.0327,,,,X,13.04.2016,637,84360,Ladiges,light green,,
Außenwand an DG,Drempel im DG (Satteldach),AW44-V-15PPW6-160mm035-Stb-D18-14-Drempel-240mm035_Drempel eingerückt,0.0268,,,,X,24.08.2018,1553,,V1 UrbanStyle,light yellow,,
Außenwand an DG,,Drempel im DG (Pfettendach),,,,,,,,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD18-14_Drempel240mm032_Pfettendach,0.0976,,,,X,01.06.2016,740,84696,Lubach,light yellow,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD18-14_Drempel240mm032_Pfettendach_Fassadenwechsel,0.0075,,,,X,02.12.2019,1905,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD18-14_Drempel240mm035_Pfettendach,0.0955,,,,X,27.05.2016,735,84696,Lubach,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD18-14_Drempel280mm032_Pfettendach,0.0234,,,,X,23.05.2019,1785,86925,Hilbig,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD24-14_Drempel240mm032_Pfettendach,0.0071,,,,X,20.02.2024,2638,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm032_StbD24-14_Drempel280mm032_Pfettendach,0.0145,,,,X,16.12.2021,2353,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm035_StbD18-14_Drempel240mm032_Pfettendach,0.0203,,,,X,14.06.2019,1795,87175,Fischer,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm035_StbD18-14_Drempel240mm035_Pfettendach,0.0646,,x,,x,13.07.2016,813,84767,Schöne,light red,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm035_StbD18-14_Drempel240mm035_Pfettendach,0.0023,,,,X,26.07.2018,1539,,Lächle/Seip,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm035_StbD24-14_Drempel240mm035_Dach-240mm035_Pfettendach_Treppenöffnung,0.0409,,,,X,22.08.2019,1828,87262,Gorgels,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-P-15PPW2-160mm035_StbD24-14_Drempel240mm035+40mm032_Pfettendach,0.0150,,,,X,20.06.2023,2569,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),"AW44-V-15KS(1,8)-160mm032_StbD24-14_Drempel280mm032_Pfettendach",0.0092,,,,X,17.09.2021,2277,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),"AW44-V-15KS(1,8)-160mm032_StbD24-14_Drempel320mm032_Pfettendach",0.0113,,,,X,01.12.2021,2342,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-V-15PPW2-160mm032_StbD18-14_Drempel240mm032_Pfettendach,0.0086,,,,X,02.12.2019,1905,,,light red,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-V-15PPW2-160mm032_StbD18-14_Drempel240mm035_Pfettendach,0.0107,,,,X,20.08.2021,2240,,,,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-V-15PPW2-160mm032_StbD18-14_Drempel280mm032_Pfettendach,0.0278,,,,X,23.05.2019,1785,86925,Hilbig,light blue,,
Außenwand an DG,Drempel im DG (Pfettendach),AW44-V-15PPW2-160mm032_StbD24-14_Drempel240mm032_Pfettendach,0.0120,,,,X,16.11.2022,2511,,,,,
